Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,125.411087,127.122368,125.095604,126.625237,76.012856,6438444
2010-01-05,125.889099,126.051628,124.378586,125.095604,75.094612,7156104
2010-01-06,124.933075,125.707458,124.101341,124.282982,74.606796,5863144
2010-01-07,124.158699,124.521988,123.240921,123.852776,74.348564,6109268
2010-01-08,123.393883,125.162521,123.374763,125.095604,75.094612,4390271
2010-01-11,125.296364,125.296364,123.011475,123.785851,74.308388,5993998
2010-01-12,123.355644,125.554497,123.326958,124.770554,74.899490,8453249
2010-01-13,124.655830,125.353729,123.479927,124.502869,74.738785,6752348
2010-01-14,124.808792,126.873802,124.196938,126.491394,75.932495,7438943
2010-01-15,126.223709,127.045891,125.325050,125.984703,75.628342,8885142
2010-01-19,125.841301,128.346085,125.774376,128.240921,76.982750,14556345
2010-01-20,124.722755,125.382408,123.279160,124.521988,74.750275,15896585
2010-01-21,124.732315,124.942642,122.428299,123.326958,74.032898,10050596
2010-01-22,123.011475,123.221794,119.856598,119.980881,72.024269,10552676
2010-01-25,120.774376,121.309753,120.181641,120.573616,72.380089,6002471
2010-01-26,120.382408,122.131927,119.894836,120.219887,72.167732,7463524
2010-01-27,120.286804,121.376671,119.541107,120.774376,72.500595,9120283
2010-01-28,121.443596,121.453156,117.638626,118.307838,71.019928,10064821
2010-01-29,118.852776,119.502869,116.539200,117.007645,70.239441,12103475
2010-02-01,117.810707,119.455070,117.380501,119.187378,71.547935,7576073
2010-02-02,119.302101,120.277245,118.499046,120.009560,72.041496,6171295
2010-02-03,119.655830,120.525810,119.569794,120.133842,72.116096,4369247
2010-02-04,119.684509,119.923515,117.495216,117.590820,70.589516,9546737
2010-02-05,117.629066,118.279160,116.472275,118.087952,70.887955,9013382
2010-02-08,117.734222,117.801147,116.386230,116.520073,70.259598,5981551
2010-02-09,117.256210,118.738052,117.074570,117.791588,71.026299,6322547
2010-02-10,117.533463,118.212234,116.835564,117.409180,70.795731,5459179
2010-02-11,117.189293,118.738052,116.692162,118.288719,71.326042,5323094
2010-02-12,117.600380,118.594643,116.261948,118.546844,71.481712,8386514
2010-02-16,119.416824,119.722755,118.652008,119.722755,72.190750,7089056
2010-02-17,119.980881,120.965584,119.703636,120.774376,72.824852,6095460
2010-02-18,120.583176,122.370934,120.458893,122.189293,73.678047,5780091
2010-02-19,121.749519,122.428299,121.290634,121.596558,73.320618,6593043
2010-02-22,121.701721,121.826004,120.755257,121.271507,73.124641,3983273
2010-02-23,120.917786,122.045891,120.458893,120.898659,72.899796,4803127
2010-02-24,121.434036,122.629066,121.233269,121.978966,73.551186,5001972
2010-02-25,120.506691,121.644356,120.047798,121.481834,73.251442,5919000
2010-02-26,121.424477,122.370934,121.166351,121.567879,73.303337,5004273
2010-03-01,121.892921,123.164436,121.864243,122.915871,74.116142,4788274
2010-03-02,123.040154,123.413002,121.539200,121.816444,73.453217,6289912
2010-03-03,122.112808,122.390060,121.108986,121.300194,73.141922,6683940
2010-03-04,121.481834,121.481834,119.952202,121.147224,73.049690,6309786
2010-03-05,121.577438,121.940727,121.453156,121.653923,73.355209,6422649
2010-03-08,121.472275,121.892921,120.803062,120.850861,72.870979,6484468
2010-03-09,120.717018,120.736137,119.694077,120.028679,72.375229,7875125
2010-03-10,120.449333,120.803062,119.703636,120.095604,72.415596,7234345
2010-03-11,120.181641,122.189293,120.181641,121.988525,73.556984,8286621
2010-03-12,122.284897,122.724663,121.902489,122.313576,73.752968,5407297
2010-03-15,121.797325,122.695984,121.682602,122.208412,73.689583,4704594
2010-03-16,122.370934,123.212234,121.845123,123.011475,74.173805,6417105
2010-03-17,123.231361,123.260040,121.759079,122.141495,73.649208,6640426
2010-03-18,121.854683,123.087952,121.845123,122.734222,74.006638,5182302
2010-03-19,122.093689,123.260040,121.204590,122.093689,73.620384,11238538
2010-03-22,121.520073,122.743790,121.003822,122.351814,73.776031,5911887
2010-03-23,122.313576,123.738052,122.026772,123.680687,74.577293,6253511
