Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,121.559998,121.760002,119.900002,120.300003,83.096291,55748000
2005-01-04,120.459999,120.540001,118.440002,118.830002,82.080872,69167600
2005-01-05,118.739998,119.250000,118.000000,118.010002,81.514465,65667300
2005-01-06,118.440002,119.150002,118.260002,118.610001,81.928932,47814700
2005-01-07,118.970001,119.230003,118.129997,118.440002,81.811485,55847700
2005-01-10,118.339996,119.459999,118.339996,119.000000,82.198318,56563300
2005-01-11,118.639999,118.739998,117.989998,118.180000,81.631889,63099700
2005-01-12,118.400002,118.839996,117.519997,118.570000,81.901314,72720500
2005-01-13,118.639999,118.730003,117.500000,117.620003,81.245102,55537500
2005-01-14,117.970001,118.529999,117.760002,118.239998,81.673340,42032500
2005-01-18,118.050003,119.620003,117.949997,119.470001,82.522964,57391700
2005-01-19,119.430000,119.519997,118.209999,118.220001,81.659531,54378900
2005-01-20,117.889999,118.199997,117.290001,117.500000,81.162209,72049300
2005-01-21,117.790001,118.000000,116.650002,116.779999,80.664856,63160400
2005-01-24,117.089996,117.339996,116.370003,116.550003,80.505997,58441900
2005-01-25,116.910004,117.470001,116.720001,116.879997,80.733932,68245000
2005-01-26,117.320000,117.599998,117.040001,117.230003,80.975708,57195100
2005-01-27,117.190002,117.750000,116.980003,117.430000,81.113831,55878800
2005-01-28,117.489998,117.550003,116.610001,117.430000,81.113831,60738900
2005-01-31,117.949997,118.250000,117.709999,118.160004,81.618080,52532700
2005-02-01,118.250000,119.080002,118.099998,118.910004,82.136131,49841200
2005-02-02,119.059998,119.589996,118.900002,119.269997,82.384811,52468900
2005-02-03,119.059998,119.160004,118.570000,118.959999,82.170647,48837100
2005-02-04,119.000000,120.430000,118.980003,120.230003,83.047913,50024600
2005-02-07,120.250000,120.519997,119.959999,120.070000,82.937393,45412000
2005-02-08,120.169998,120.650002,120.070000,120.209999,83.034111,39263500
2005-02-09,120.419998,120.489998,119.250000,119.309998,82.412445,55279400
2005-02-10,119.660004,120.019997,119.260002,119.739998,82.709496,45858600
2005-02-11,119.699997,121.040001,119.459999,120.769997,83.420929,53133000
2005-02-14,120.690002,120.860001,120.480003,120.680000,83.358749,32432100
2005-02-15,120.800003,121.430000,120.680000,121.129997,83.669594,43852700
2005-02-16,120.930000,121.459999,120.669998,121.209999,83.724854,55523000
2005-02-17,121.230003,121.330002,120.220001,120.230003,83.047913,58124000
2005-02-18,120.239998,120.480003,119.900002,120.389999,83.158447,47723300
2005-02-22,119.900002,120.470001,118.580002,118.599998,81.922035,80697600
2005-02-23,118.930000,119.570000,118.620003,119.449997,82.509132,68292600
2005-02-24,119.239998,120.320000,118.980003,120.239998,83.054832,68563600
2005-02-25,120.269997,121.669998,120.180000,121.430000,83.876816,60899900
2005-02-28,121.150002,121.300003,120.040001,120.629997,83.324234,69381300
2005-03-01,120.820000,121.519997,120.779999,121.230003,83.738686,47294400
2005-03-02,120.760002,121.930000,120.650002,121.169998,83.697235,64226500
2005-03-03,121.660004,121.900002,120.699997,121.220001,83.731773,61230800
2005-03-04,122.050003,122.830002,121.790001,122.730003,84.774803,56168500
2005-03-07,122.660004,123.250000,122.400002,122.790001,84.816223,43442400
2005-03-08,122.669998,123.000000,122.110001,122.330002,84.498497,44362000
2005-03-09,121.970001,122.290001,120.959999,120.970001,83.559082,73263600
2005-03-10,121.199997,121.500000,120.400002,121.239998,83.745560,65149000
2005-03-11,121.309998,121.720001,120.160004,120.389999,83.158447,57976500
2005-03-14,120.610001,121.160004,120.279999,121.139999,83.676521,36336400
2005-03-15,121.419998,121.459999,120.080002,120.139999,82.985764,62438500
2005-03-16,119.699997,120.160004,118.900002,119.120003,82.281219,74874200
2005-03-17,119.309998,119.739998,118.980003,119.360001,82.446991,62584200
2005-03-18,119.110001,119.529999,118.150002,118.540001,82.202209,60232000
2005-03-21,118.709999,118.779999,117.760002,118.099998,81.897064,61244300
2005-03-22,118.370003,118.930000,116.900002,116.900002,81.064941,92472400
2005-03-23,116.949997,117.720001,116.750000,117.000000,81.134254,70817300
2005-03-24,117.459999,117.989998,117.059998,117.139999,81.231346,51932500
2005-03-28,117.419998,117.940002,117.309998,117.309998,81.349251,46765500
2005-03-29,117.139999,117.900002,116.250000,116.529999,80.808350,71160300
2005-03-30,116.779999,118.199997,116.769997,118.180000,81.952515,62002100
2005-03-31,118.190002,118.459999,117.870003,117.959999,81.799980,64575400
2005-04-01,118.629997,118.989998,116.910004,117.430000,81.432457,95255300
2005-04-04,117.360001,117.860001,116.739998,117.629997,81.571152,71581200
2005-04-05,117.779999,118.379997,117.669998,118.190002,81.959473,46853900
2005-04-06,118.449997,118.949997,118.180000,118.599998,82.243797,53268200
2005-04-07,118.410004,119.260002,118.320000,119.239998,82.687622,46734600
2005-04-08,119.169998,119.209999,118.000000,118.000000,81.827736,63772900
2005-04-11,118.290001,118.419998,117.830002,118.089996,81.890160,44945000
2005-04-12,117.889999,119.059998,117.070000,118.699997,82.313156,86144800
2005-04-13,118.559998,118.800003,117.129997,117.300003,81.342346,65949000
2005-04-14,117.400002,117.500000,115.769997,115.769997,80.281326,96119800
2005-04-15,115.739998,116.199997,114.099998,114.150002,79.157921,128677300
2005-04-18,114.120003,114.959999,113.959999,114.500000,79.400620,100035200
2005-04-19,115.099998,115.529999,114.830002,115.410004,80.031662,64930100
2005-04-20,115.379997,115.629997,113.550003,113.800003,78.915215,107735900
2005-04-21,114.790001,116.209999,114.379997,116.010002,80.447723,86952200
2005-04-22,115.739998,116.500000,114.269997,115.570000,80.142609,88845800
2005-04-25,115.860001,116.500000,115.720001,116.330002,80.669670,52284100
2005-04-26,115.959999,116.769997,115.150002,115.199997,79.886040,72626000
2005-04-27,114.860001,116.070000,114.440002,115.650002,80.198120,84131900
2005-04-28,115.269997,115.680000,114.199997,114.199997,79.192589,72481500
2005-04-29,115.070000,115.870003,113.970001,115.750000,80.267479,103993800
2005-05-02,116.070000,116.410004,115.519997,116.400002,80.718185,56026400
2005-05-03,116.070000,116.849998,115.690002,116.599998,80.856880,86000300
2005-05-04,116.650002,117.750000,116.279999,117.500000,81.481003,81055700
2005-05-05,117.669998,118.000000,116.739998,117.459999,81.453270,96906700
2005-05-06,117.930000,117.989998,117.059998,117.089996,81.196701,67415400
2005-05-09,117.209999,118.080002,117.050003,117.820000,81.702904,43750500
2005-05-10,117.360001,117.500000,116.389999,116.599998,80.856880,74613500
2005-05-11,116.930000,117.400002,115.849998,117.239998,81.300705,91647400
2005-05-12,117.320000,117.589996,115.949997,115.949997,80.406151,95086800
2005-05-13,116.300003,116.620003,114.800003,115.720001,80.246643,85267000
2005-05-16,115.699997,116.839996,115.660004,116.800003,80.995590,49207000
2005-05-17,116.410004,117.699997,116.160004,117.580002,81.536514,61071800
2005-05-18,118.089996,119.080002,118.010002,118.790001,82.375557,77944900
2005-05-19,119.019997,119.410004,118.699997,119.290001,82.722275,61768100
2005-05-20,119.339996,119.389999,118.739998,119.120003,82.604378,46345500
2005-05-23,119.209999,120.040001,119.190002,119.779999,83.062057,51047900
2005-05-24,119.440002,119.830002,119.199997,119.500000,82.867935,50654100
2005-05-25,119.349998,119.870003,118.830002,119.410004,82.805504,47608800
2005-05-26,119.790001,120.209999,119.620003,120.050003,83.249306,43256200
2005-05-27,120.059998,120.250000,119.800003,120.250000,83.387993,24596100
2005-05-31,120.080002,120.169998,119.400002,119.480003,82.854065,43377200
2005-06-01,119.519997,120.919998,119.449997,120.500000,83.561363,69611000
2005-06-02,120.230003,120.839996,120.099998,120.760002,83.741669,39704500
2005-06-03,120.550003,120.889999,119.730003,120.150002,83.318657,60999400
2005-06-06,119.949997,120.199997,119.550003,120.040001,83.242378,36046400
2005-06-07,120.389999,121.250000,120.010002,120.129997,83.304802,66501300
2005-06-08,120.430000,120.589996,119.669998,119.910004,83.152214,46881200
2005-06-09,119.739998,120.580002,119.440002,120.480003,83.547516,56653300
2005-06-10,120.559998,120.650002,119.599998,120.199997,83.353333,36465300
2005-06-13,119.940002,121.080002,119.809998,120.580002,83.616844,49383200
2005-06-14,120.449997,121.199997,120.379997,120.860001,83.811043,33857100
2005-06-15,121.160004,121.239998,120.230003,121.089996,83.970490,53195600
2005-06-16,121.059998,121.639999,120.919998,121.400002,84.185501,46564500
2005-06-17,121.540001,121.900002,121.220001,121.360001,84.497398,51529400
2005-06-20,121.080002,121.839996,120.940002,121.400002,84.525269,41019400
2005-06-21,121.500000,121.650002,121.029999,121.470001,84.573975,39879800
2005-06-22,121.680000,121.940002,121.070000,121.570000,84.643600,46310100
2005-06-23,121.320000,121.599998,119.830002,119.860001,83.453026,62185600
2005-06-24,119.879997,120.010002,118.839996,118.980003,82.840324,58572500
2005-06-27,118.970001,119.410004,118.750000,119.150002,82.958649,48183800
2005-06-28,119.400002,120.239998,119.370003,120.150002,83.654922,41174200
2005-06-29,120.370003,120.400002,119.760002,119.830002,83.432159,42316500
2005-06-30,120.220001,120.320000,118.949997,119.180000,82.979561,62288800
2005-07-01,119.449997,119.800003,119.209999,119.529999,83.223244,49737500
2005-07-05,119.250000,120.650002,119.190002,120.489998,83.891632,51549000
2005-07-06,120.389999,120.650002,119.410004,119.480003,83.188454,52363600
2005-07-07,118.290001,119.949997,118.260002,119.949997,83.515694,103268800
2005-07-08,119.970001,121.320000,119.720001,121.320000,84.469536,64491200
2005-07-11,121.330002,122.099998,121.309998,121.940002,84.901215,49688300
2005-07-12,121.989998,122.629997,121.639999,122.260002,85.124039,51871100
2005-07-13,122.269997,122.519997,121.989998,122.430000,85.242416,41182300
2005-07-14,122.980003,123.440002,122.489998,122.910004,85.576591,63638800
2005-07-15,122.790001,123.040001,122.360001,122.839996,85.527840,56075900
2005-07-18,122.500000,122.629997,122.050003,122.349998,85.186638,56598400
2005-07-19,122.709999,123.110001,122.410004,123.019997,85.653175,59165700
2005-07-20,122.589996,123.730003,122.300003,123.440002,85.945610,69477000
2005-07-21,123.550003,123.610001,122.470001,122.720001,85.444328,101110900
2005-07-22,122.879997,123.559998,122.629997,123.540001,86.015259,52607100
2005-07-25,123.410004,123.949997,122.849998,123.190002,85.771568,57301600
2005-07-26,123.230003,123.529999,122.949997,123.339996,85.875977,42758800
2005-07-27,123.500000,123.889999,123.050003,123.790001,86.189293,43181600
2005-07-28,123.959999,124.639999,123.639999,124.570000,86.732399,47880700
2005-07-29,124.410004,124.629997,123.500000,123.739998,86.154472,62358100
2005-08-01,123.830002,124.040001,123.449997,123.650002,86.091812,40418200
2005-08-02,123.870003,124.599998,123.739998,124.389999,86.607033,45147400
2005-08-03,124.250000,124.739998,124.120003,124.720001,86.836815,36837200
2005-08-04,124.230003,124.309998,123.570000,123.720001,86.140579,50855600
2005-08-05,123.449997,123.980003,122.669998,122.879997,85.555725,53595500
2005-08-08,123.150002,123.410004,122.379997,122.650002,85.395561,47616000
2005-08-09,123.059998,123.589996,122.870003,123.389999,85.910782,47170000
2005-08-10,123.820000,124.500000,122.820000,123.330002,85.869011,72863700
2005-08-11,123.269997,124.029999,123.010002,123.820000,86.210175,58570200
2005-08-12,123.570000,123.690002,122.750000,123.059998,85.681015,54776900
2005-08-15,123.220001,123.870003,122.830002,123.820000,86.210175,36208500
2005-08-16,123.440002,123.519997,122.089996,122.209999,85.089203,71942100
2005-08-17,122.190002,122.870003,122.029999,122.199997,85.082275,62275100
2005-08-18,122.050003,122.559998,121.839996,122.190002,85.075287,53388600
2005-08-19,122.629997,122.820000,122.199997,122.470001,85.270241,39842100
2005-08-22,122.580002,123.230003,121.879997,122.470001,85.270241,69912000
2005-08-23,122.500000,122.610001,121.150002,122.239998,85.110107,55168600
2005-08-24,121.940002,122.730003,121.089996,121.150002,84.351181,79104600
2005-08-25,121.349998,121.669998,121.209999,121.589996,84.657539,35631100
2005-08-26,121.480003,121.489998,120.680000,120.760002,84.079681,61956800
2005-08-29,120.410004,121.779999,120.379997,121.690002,84.727165,56179200
2005-08-30,121.250000,121.300003,120.389999,121.050003,84.281555,74160200
2005-08-31,121.190002,122.660004,120.739998,122.580002,85.346832,102945200
2005-09-01,122.519997,123.150002,121.139999,122.489998,85.284134,74578700
2005-09-02,122.849998,122.879997,122.040001,122.269997,85.130997,47653400
2005-09-06,122.660004,123.800003,122.650002,123.699997,86.126640,57251300
2005-09-07,123.629997,124.129997,123.459999,123.910004,86.272842,41749700
2005-09-08,123.660004,124.000000,123.309998,123.500000,85.987373,39068700
